Num_Cta,Cli_codigo,TipoCuenta,Sucursal,FechaApertura,Saldo
191-10038-34,C0038,CTA AHORROS DOLARES,Cajamarca,29/08/2020,4060.47
191-10039-18,C0039,CTA AHORROS SOLES,Miraflores,03/10/2010,2212.33
191-10040-86,C0040,CTA AHORROS SOLES,Lince,02/01/2023,9087.95
191-10041-42,C0041,CTA AHORROS SOLES,Callao,18/06/2023,11533.93
191-10042-37,C0042,CTA CORRIENTE,Surco,02/08/2014,1927.04
191-10043-35,C0043,CTA CORRIENTE,San Isidro,13/08/2014,10457.5
191-10044-81,C0044,CTA AHORROS SOLES,La Molina,27/02/2019,13164.09
191-10045-69,C0045,CTA AHORROS SOLES,Miraflores,01/05/2018,5887.21
191-10046-20,C0046,CTA AHORROS SOLES,Callao,26/09/2019,14629.03
191-10047-41,C0047,CTA CORRIENTE,La Molina,12/12/2019,1409.5
191-10048-42,C0048,CTA AHORROS SOLES,San Isidro,21/02/2021,2871.03
191-10049-27,C0049,CTA AHORROS SOLES,Callao,21/07/2013,12224.43
191-10050-16,C0050,CTA AHORROS SOLES,La Molina,08/07/2024,13998.34
191-10051-19,C0051,CTA AHORROS SOLES,Callao,25/03/2015,10517.94
191-10052-34,C0052,CTA AHORROS DOLARES,Miraflores,08/09/2023,6399.66
191-10053-59,C0053,CTA AHORROS SOLES,Miraflores,29/09/2020,3094.88
191-10054-43,C0054,CTA AHORROS DOLARES,Lince,27/04/2016,3038.3
191-10055-81,C0055,CTA AHORROS DOLARES,Callao,16/04/2020,3782.97
191-10056-49,C0056,CTA CORRIENTE,La Molina,24/08/2017,12751.52
191-10057-71,C0057,CTA AHORROS SOLES,Miraflores,08/05/2020,14928.04
191-10058-34,C0058,CTA AHORROS SOLES,Callao,26/03/2019,6753.33
191-10059-50,C0059,CTA AHORROS SOLES,San Isidro,05/01/2018,14078.7
191-10060-82,C0060,CTA AHORROS DOLARES,Cajamarca,01/12/2012,14830.07
191-10061-62,C0061,CTA AHORROS SOLES,La Molina,24/10/2015,6021.32
191-10062-40,C0062,CTA AHORROS SOLES,San Isidro,24/02/2017,5823.03
191-10063-69,C0063,CTA AHORROS SOLES,Cajamarca,27/02/2018,13671.56
191-10064-55,C0064,CTA AHORROS SOLES,La Molina,08/08/2013,1657.29
191-10065-64,C0065,CTA CORRIENTE,La Molina,16/06/2020,11793.53
191-10066-30,C0066,CTA AHORROS DOLARES,Miraflores,26/03/2019,1119.0
191-10067-27,C0067,CTA CORRIENTE,Callao,08/04/2020,3022.44
191-10068-95,C0068,CTA AHORROS SOLES,La Molina,16/01/2014,4703.43
191-10069-57,C0069,CTA AHORROS SOLES,San Isidro,29/11/2020,7420.35
191-10070-53,C0070,CTA CORRIENTE,Surco,16/08/2017,8616.43
191-10071-52,C0071,CTA AHORROS SOLES,Surco,26/06/2023,3503.71
191-10072-78,C0072,CTA CORRIENTE,Surco,02/05/2019,7272.63
191-10073-73,C0073,CTA AHORROS DOLARES,Cajamarca,10/06/2013,6202.44
191-10074-62,C0074,CTA CORRIENTE,San Isidro,03/09/2010,11770.71
191-10075-28,C0075,CTA AHORROS DOLARES,Callao,21/08/2016,10746.77
191-10076-78,C0076,CTA AHORROS DOLARES,San Isidro,20/01/2014,14462.03
191-10077-68,C0077,CTA AHORROS DOLARES,Miraflores,14/11/2021,1520.16
191-10078-73,C0078,CTA CORRIENTE,Cajamarca,09/12/2016,13576.11
191-10079-68,C0079,CTA AHORROS SOLES,Miraflores,06/01/2020,5713.3
191-10080-80,C0080,CTA AHORROS SOLES,Surco,22/07/2019,9972.2
191-10081-57,C0081,CTA CORRIENTE,Callao,26/05/2013,7327.83
191-10082-92,C0082,CTA CORRIENTE,Miraflores,28/08/2014,12030.28
191-10083-50,C0083,CTA AHORROS DOLARES,Miraflores,06/12/2022,9298.56
191-10084-83,C0084,CTA AHORROS SOLES,Lince,20/09/2015,14274.05
191-10085-96,C0085,CTA AHORROS DOLARES,Miraflores,04/04/2016,6458.21
191-10086-69,C0086,CTA CORRIENTE,Callao,17/06/2023,1849.03
191-10087-49,C0087,CTA AHORROS SOLES,Surco,06/10/2017,10174.31
191-10088-64,C0088,CTA AHORROS SOLES,Cajamarca,14/08/2017,1988.45
191-10089-77,C0089,CTA AHORROS SOLES,Surco,28/06/2016,2458.63
191-10090-95,C0090,CTA AHORROS SOLES,Lince,20/09/2013,9937.51
191-10091-18,C0091,CTA AHORROS DOLARES,Cajamarca,22/06/2012,1034.32
191-10092-15,C0092,CTA AHORROS DOLARES,Miraflores,27/08/2017,4580.22
191-10093-59,C0093,CTA AHORROS DOLARES,Miraflores,21/09/2023,2109.49
191-10094-17,C0094,CTA AHORROS DOLARES,Surco,02/11/2021,7072.44
191-10095-84,C0095,CTA AHORROS DOLARES,La Molina,14/09/2011,4384.4
191-10096-10,C0096,CTA CORRIENTE,Miraflores,23/10/2018,9963.4
191-10097-43,C0097,CTA AHORROS SOLES,Callao,21/09/2020,3931.58
191-10098-77,C0098,CTA AHORROS SOLES,Lince,30/11/2011,1357.95
191-10099-14,C0099,CTA AHORROS SOLES,Surco,03/12/2010,12840.66
191-10100-26,C0100,CTA CORRIENTE,Miraflores,15/01/2010,1928.07
191-10101-40,C0101,CTA AHORROS DOLARES,Callao,25/02/2018,9129.78
191-10102-83,C0102,CTA AHORROS SOLES,La Molina,03/10/2024,9613.66
191-10103-31,C0103,CTA AHORROS DOLARES,Miraflores,18/04/2021,10236.66
191-10104-80,C0104,CTA AHORROS DOLARES,Miraflores,05/04/2017,2284.02
191-10105-14,C0105,CTA CORRIENTE,Callao,08/03/2016,14390.43
191-10106-70,C0106,CTA CORRIENTE,La Molina,17/06/2017,10792.56
191-10107-91,C0107,CTA AHORROS DOLARES,Miraflores,03/12/2011,13651.49
191-10108-58,C0108,CTA CORRIENTE,Lince,11/02/2021,10628.91
191-10109-13,C0109,CTA AHORROS SOLES,Surco,09/03/2012,12833.62
191-10110-24,C0110,CTA CORRIENTE,Cajamarca,17/10/2014,12658.3
191-10111-65,C0111,CTA AHORROS SOLES,Miraflores,27/08/2020,1936.92
191-10112-60,C0112,CTA CORRIENTE,La Molina,21/12/2019,8510.61
191-10113-64,C0113,CTA AHORROS SOLES,Miraflores,20/10/2017,6094.21
191-10114-67,C0114,CTA AHORROS SOLES,Lince,25/10/2012,4782.05
191-10115-39,C0115,CTA CORRIENTE,Lince,26/11/2014,7332.9
191-10116-64,C0116,CTA AHORROS SOLES,La Molina,26/08/2023,14158.43
191-10117-65,C0117,CTA CORRIENTE,La Molina,12/01/2016,7283.35
191-10118-66,C0118,CTA AHORROS SOLES,Miraflores,14/03/2024,3729.62
191-10119-88,C0119,CTA AHORROS SOLES,Miraflores,22/12/2016,5172.77
191-10120-80,C0120,CTA AHORROS DOLARES,Callao,24/09/2013,2797.8
191-10121-34,C0121,CTA CORRIENTE,San Isidro,23/05/2010,12382.32
191-10122-53,C0122,CTA AHORROS DOLARES,Surco,21/12/2012,13661.21
191-10123-28,C0123,CTA CORRIENTE,Cajamarca,26/03/2019,2000.36
191-10124-72,C0124,CTA AHORROS SOLES,Lince,03/02/2018,8397.21
191-10125-54,C0125,CTA AHORROS DOLARES,Lince,31/12/2010,1271.05
191-10126-79,C0126,CTA CORRIENTE,Miraflores,11/05/2015,13660.87
191-10127-24,C0127,CTA AHORROS DOLARES,Miraflores,29/05/2011,13001.32
191-10128-94,C0128,CTA AHORROS SOLES,Cajamarca,23/06/2021,13761.18
191-10129-64,C0129,CTA AHORROS DOLARES,Cajamarca,29/01/2024,5955.67
191-10130-49,C0130,CTA CORRIENTE,Lince,14/06/2010,12434.56
191-10131-29,C0131,CTA AHORROS SOLES,La Molina,26/05/2017,13117.87
191-10132-70,C0132,CTA AHORROS SOLES,Miraflores,11/08/2021,10285.07
191-10133-44,C0133,CTA AHORROS DOLARES,San Isidro,20/06/2023,1665.95
191-10134-36,C0134,CTA AHORROS DOLARES,Callao,11/04/2017,9713.71
191-10135-42,C0135,CTA AHORROS SOLES,Miraflores,02/04/2019,8886.24
191-10136-73,C0136,CTA AHORROS SOLES,Callao,30/03/2015,10299.52
191-10137-99,C0137,CTA AHORROS DOLARES,Lince,01/11/2021,5058.76
191-10138-35,C0138,CTA CORRIENTE,Cajamarca,10/08/2018,14443.52
191-10139-91,C0139,CTA AHORROS DOLARES,Cajamarca,29/05/2024,2703.78
191-10140-94,C0140,CTA AHORROS DOLARES,Cajamarca,07/04/2023,7465.31
191-10141-35,C0141,CTA AHORROS DOLARES,Cajamarca,13/08/2021,4056.08
191-10142-87,C0142,CTA AHORROS SOLES,San Isidro,16/08/2020,8353.9
191-10143-83,C0143,CTA AHORROS DOLARES,Lince,21/08/2021,7487.56
191-10144-12,C0144,CTA CORRIENTE,Lince,24/06/2015,14368.37
191-10145-52,C0145,CTA CORRIENTE,Callao,29/04/2021,12753.71
191-10146-29,C0146,CTA AHORROS SOLES,Cajamarca,18/04/2010,13833.46
191-10147-29,C0147,CTA AHORROS SOLES,Surco,25/09/2022,5167.06
191-10148-25,C0148,CTA AHORROS DOLARES,Cajamarca,15/01/2016,971.43
191-10149-90,C0149,CTA AHORROS DOLARES,Miraflores,15/04/2011,914.11
191-10150-74,C0150,CTA CORRIENTE,Callao,23/10/2021,5990.62
191-10151-28,C0151,CTA CORRIENTE,San Isidro,21/02/2019,5198.48
191-10152-62,C0152,CTA CORRIENTE,La Molina,10/04/2020,9756.5
191-10153-51,C0153,CTA AHORROS SOLES,La Molina,29/04/2019,12225.85
191-10154-80,C0154,CTA AHORROS SOLES,Miraflores,30/11/2020,10585.28
191-10155-15,C0155,CTA AHORROS SOLES,San Isidro,19/06/2019,2833.66
191-10156-16,C0156,CTA AHORROS DOLARES,La Molina,01/10/2016,5716.38
191-10157-10,C0157,CTA AHORROS DOLARES,Lince,20/10/2021,7679.79
191-10158-18,C0158,CTA AHORROS SOLES,Cajamarca,21/09/2017,4991.16
191-10159-35,C0159,CTA CORRIENTE,San Isidro,02/12/2017,6235.67
191-10160-11,C0160,CTA AHORROS SOLES,Surco,01/05/2013,12784.72
191-10161-15,C0161,CTA AHORROS SOLES,San Isidro,03/02/2013,5725.69
191-10162-80,C0162,CTA AHORROS DOLARES,La Molina,17/05/2023,4599.55
191-10163-13,C0163,CTA AHORROS SOLES,Cajamarca,16/07/2015,661.39
191-10164-93,C0164,CTA CORRIENTE,Lince,05/02/2010,8066.06
191-10165-19,C0165,CTA CORRIENTE,Miraflores,06/11/2020,1624.39
191-10166-84,C0166,CTA AHORROS SOLES,Surco,27/08/2011,7224.64
191-10167-68,C0167,CTA AHORROS SOLES,Callao,04/12/2013,3155.64
191-10168-37,C0168,CTA AHORROS DOLARES,La Molina,10/01/2020,7427.5
191-10169-80,C0169,CTA AHORROS SOLES,La Molina,03/05/2024,14116.85
191-10170-92,C0170,CTA AHORROS DOLARES,Callao,05/02/2020,14719.73
191-10171-50,C0171,CTA AHORROS SOLES,La Molina,16/02/2010,4917.75
191-10172-43,C0172,CTA AHORROS SOLES,Surco,09/11/2019,12204.7
191-10173-16,C0173,CTA AHORROS SOLES,Callao,31/07/2011,1960.39
191-10174-93,C0174,CTA AHORROS SOLES,Lince,21/06/2013,4490.0
191-10175-49,C0175,CTA CORRIENTE,La Molina,18/07/2018,9649.34
191-10176-75,C0176,CTA AHORROS SOLES,Lince,24/04/2019,8229.97
191-10177-53,C0177,CTA AHORROS SOLES,San Isidro,17/10/2011,12881.6
191-10178-50,C0178,CTA AHORROS DOLARES,Callao,14/02/2019,887.9
191-10179-53,C0179,CTA AHORROS DOLARES,Miraflores,23/03/2024,9606.58
191-10180-30,C0180,CTA AHORROS SOLES,Miraflores,20/09/2024,14436.24
191-10181-74,C0181,CTA CORRIENTE,Cajamarca,08/09/2010,14912.31
191-10182-95,C0182,CTA AHORROS SOLES,La Molina,01/10/2011,8942.82
191-10183-40,C0183,CTA AHORROS SOLES,Callao,12/07/2017,9268.3
191-10184-55,C0184,CTA AHORROS SOLES,La Molina,08/10/2012,611.48
191-10185-57,C0185,CTA CORRIENTE,Callao,01/11/2017,12398.64
191-10186-98,C0186,CTA CORRIENTE,Cajamarca,12/12/2013,1664.38
191-10187-65,C0187,CTA AHORROS SOLES,Cajamarca,08/10/2016,1356.19
191-10188-44,C0188,CTA AHORROS DOLARES,San Isidro,24/09/2018,13186.69
191-10189-88,C0189,CTA AHORROS DOLARES,Lince,09/03/2019,757.06
191-10190-92,C0190,CTA AHORROS SOLES,Surco,08/07/2015,10298.17
191-10191-34,C0191,CTA AHORROS SOLES,Lince,11/05/2016,5361.73
191-10192-30,C0192,CTA AHORROS DOLARES,Miraflores,04/07/2021,10178.56
191-10193-24,C0193,CTA AHORROS DOLARES,Callao,18/05/2016,2715.86
191-10194-53,C0194,CTA AHORROS SOLES,Miraflores,03/04/2018,7682.01
191-10195-85,C0195,CTA AHORROS SOLES,Cajamarca,03/10/2011,8430.03
191-10196-90,C0196,CTA CORRIENTE,Callao,28/01/2014,5652.01
191-10197-40,C0197,CTA AHORROS SOLES,Lince,08/06/2024,13742.31
191-10198-95,C0198,CTA AHORROS SOLES,Miraflores,02/06/2018,2336.81
191-10199-61,C0199,CTA AHORROS SOLES,La Molina,22/03/2011,9455.66
191-10200-95,C0200,CTA AHORROS DOLARES,Callao,13/01/2014,11263.57
191-10201-39,C0201,CTA AHORROS SOLES,Cajamarca,18/05/2019,7369.81
191-10202-42,C0202,CTA AHORROS SOLES,San Isidro,12/01/2019,1337.57
191-10203-72,C0203,CTA CORRIENTE,Lince,10/04/2015,12804.43
191-10204-47,C0204,CTA AHORROS SOLES,La Molina,05/06/2021,4426.08
191-10205-50,C0205,CTA AHORROS SOLES,San Isidro,11/11/2012,6122.85
191-10206-22,C0206,CTA AHORROS DOLARES,Lince,26/04/2020,14325.07
191-10207-33,C0207,CTA AHORROS DOLARES,Callao,07/02/2019,2809.19
191-10208-60,C0208,CTA AHORROS SOLES,Callao,02/08/2016,5039.72
191-10209-69,C0209,CTA AHORROS DOLARES,San Isidro,08/12/2011,8133.47
191-10210-96,C0210,CTA AHORROS SOLES,Callao,01/09/2019,8691.88
191-10211-62,C0211,CTA AHORROS SOLES,Cajamarca,16/11/2023,10293.82
191-10212-16,C0212,CTA AHORROS DOLARES,Callao,25/06/2015,2586.01
191-10213-12,C0213,CTA AHORROS SOLES,San Isidro,12/11/2023,984.49
191-10214-47,C0214,CTA AHORROS SOLES,Miraflores,27/07/2015,12698.49
191-10215-45,C0215,CTA AHORROS DOLARES,Callao,02/12/2011,14760.18
191-10216-32,C0216,CTA AHORROS DOLARES,Cajamarca,11/11/2010,12485.43
191-10217-80,C0217,CTA AHORROS SOLES,Cajamarca,26/02/2018,10615.15
191-10218-56,C0218,CTA AHORROS SOLES,Callao,10/11/2013,2719.2
191-10219-51,C0219,CTA AHORROS SOLES,Cajamarca,05/04/2023,10239.53
191-10220-51,C0220,CTA AHORROS SOLES,San Isidro,08/05/2024,1585.33
191-10221-50,C0221,CTA AHORROS SOLES,Lince,24/11/2021,12843.01
191-10222-19,C0222,CTA AHORROS DOLARES,San Isidro,03/08/2018,12287.33
191-10223-70,C0223,CTA AHORROS DOLARES,Miraflores,28/07/2011,4327.28
191-10224-88,C0224,CTA AHORROS SOLES,Miraflores,21/01/2014,5464.1
191-10225-54,C0225,CTA AHORROS SOLES,Cajamarca,27/09/2014,13683.75
191-10226-67,C0226,CTA AHORROS SOLES,La Molina,10/12/2013,11682.58
191-10227-99,C0227,CTA AHORROS SOLES,San Isidro,04/06/2015,8851.42
191-10228-72,C0228,CTA AHORROS SOLES,Surco,30/07/2011,1065.17
191-10229-61,C0229,CTA AHORROS SOLES,Cajamarca,17/11/2017,12094.54
191-10230-27,C0230,CTA AHORROS DOLARES,Callao,01/08/2013,11690.03
191-10231-37,C0231,CTA AHORROS DOLARES,La Molina,12/03/2012,510.52
191-10232-67,C0232,CTA AHORROS SOLES,Cajamarca,10/07/2022,14378.81
191-10233-29,C0233,CTA CORRIENTE,Miraflores,27/05/2020,3345.04
191-10234-28,C0234,CTA CORRIENTE,Surco,01/11/2011,13447.39
191-10235-35,C0235,CTA AHORROS SOLES,Surco,30/11/2014,13299.38
191-10236-43,C0236,CTA CORRIENTE,Callao,19/08/2024,14733.26
191-10237-65,C0237,CTA AHORROS SOLES,La Molina,04/10/2017,10773.24
191-10238-94,C0238,CTA AHORROS SOLES,Callao,19/12/2011,11050.14
191-10239-63,C0239,CTA AHORROS DOLARES,Miraflores,01/08/2021,4197.69
191-10240-68,C0240,CTA CORRIENTE,Lince,31/07/2011,10805.24
191-10241-99,C0241,CTA AHORROS DOLARES,Surco,01/01/2020,7902.51
191-10242-36,C0242,CTA AHORROS SOLES,La Molina,28/01/2024,1790.39
191-10243-80,C0243,CTA AHORROS SOLES,Surco,25/12/2010,757.48
191-10244-93,C0244,CTA AHORROS SOLES,La Molina,03/02/2019,4131.03
191-10245-20,C0245,CTA CORRIENTE,Miraflores,08/08/2019,10229.01
191-10246-71,C0246,CTA AHORROS SOLES,Surco,11/11/2010,9510.51
191-10247-92,C0247,CTA AHORROS SOLES,Miraflores,04/11/2019,6770.67
191-10248-92,C0248,CTA AHORROS DOLARES,Lince,24/09/2014,6057.86
191-10249-35,C0249,CTA CORRIENTE,Miraflores,28/03/2016,14850.75
191-10250-56,C0250,CTA AHORROS SOLES,Callao,24/02/2012,1498.79
191-10251-46,C0251,CTA AHORROS SOLES,La Molina,25/04/2017,13381.65
191-10252-79,C0252,CTA CORRIENTE,La Molina,12/01/2014,6161.32
191-10253-32,C0253,CTA AHORROS SOLES,Miraflores,01/08/2017,1240.6
191-10254-73,C0254,CTA AHORROS DOLARES,Surco,30/03/2017,13549.59
191-10255-35,C0255,CTA AHORROS SOLES,Surco,11/04/2015,1840.58
191-10256-73,C0256,CTA AHORROS SOLES,Miraflores,22/10/2012,12700.27
191-10257-52,C0257,CTA CORRIENTE,La Molina,02/12/2015,10773.42
191-10258-39,C0258,CTA AHORROS DOLARES,Cajamarca,17/11/2024,3450.37
191-10259-58,C0259,CTA AHORROS DOLARES,Callao,05/08/2020,11064.08
191-10260-25,C0260,CTA CORRIENTE,Cajamarca,18/09/2021,2711.87
191-10261-54,C0261,CTA AHORROS SOLES,Miraflores,07/05/2023,3918.06
191-10262-12,C0262,CTA AHORROS DOLARES,Surco,16/02/2016,12713.47
191-10263-26,C0263,CTA AHORROS SOLES,Cajamarca,16/11/2010,9442.71
191-10264-64,C0264,CTA AHORROS SOLES,Miraflores,31/03/2024,3088.67
191-10265-13,C0265,CTA AHORROS SOLES,Lince,09/09/2011,7166.46
191-10266-62,C0266,CTA AHORROS SOLES,San Isidro,01/04/2023,14228.94
191-10267-38,C0267,CTA AHORROS DOLARES,San Isidro,21/01/2016,10792.22
191-10268-32,C0268,CTA AHORROS DOLARES,San Isidro,24/03/2016,3268.89
191-10269-38,C0269,CTA CORRIENTE,Lince,31/03/2024,8744.62
191-10270-55,C0270,CTA AHORROS DOLARES,Lince,23/09/2013,5810.6
191-10271-97,C0271,CTA AHORROS DOLARES,Callao,21/10/2019,6046.12
191-10272-22,C0272,CTA AHORROS DOLARES,Miraflores,17/04/2013,6061.87
191-10273-48,C0273,CTA AHORROS SOLES,Cajamarca,09/05/2017,4299.98
191-10274-77,C0274,CTA AHORROS DOLARES,Miraflores,10/12/2016,8822.13
191-10275-75,C0275,CTA CORRIENTE,La Molina,19/08/2018,8417.02
191-10276-91,C0276,CTA CORRIENTE,Surco,20/04/2023,7353.02
191-10277-48,C0277,CTA CORRIENTE,Cajamarca,07/12/2013,4155.45
191-10278-11,C0278,CTA CORRIENTE,Callao,14/08/2010,5804.72
191-10279-66,C0279,CTA CORRIENTE,La Molina,27/10/2012,5264.3
191-10280-91,C0280,CTA AHORROS DOLARES,La Molina,14/07/2024,9947.61
191-10281-42,C0281,CTA AHORROS DOLARES,Cajamarca,29/08/2017,2905.06
191-10282-92,C0282,CTA AHORROS DOLARES,Callao,14/02/2013,8357.24
191-10283-49,C0283,CTA AHORROS SOLES,Callao,27/05/2018,9258.63
191-10284-85,C0284,CTA AHORROS SOLES,Lince,03/11/2012,14644.26
191-10285-72,C0285,CTA CORRIENTE,Miraflores,13/02/2010,8371.0
191-10286-84,C0286,CTA AHORROS SOLES,La Molina,14/01/2017,7216.48
191-10287-80,C0287,CTA AHORROS SOLES,La Molina,25/08/2019,4708.17
191-10288-75,C0288,CTA AHORROS DOLARES,Cajamarca,18/04/2011,7186.79
191-10289-81,C0289,CTA CORRIENTE,La Molina,23/12/2011,9255.81
191-10290-35,C0290,CTA AHORROS DOLARES,San Isidro,07/02/2020,10190.24
191-10291-20,C0291,CTA AHORROS DOLARES,La Molina,22/05/2017,7039.22
191-10292-85,C0292,CTA CORRIENTE,La Molina,13/08/2021,4588.39
191-10293-82,C0293,CTA AHORROS DOLARES,Surco,17/08/2014,1310.8
191-10294-32,C0294,CTA AHORROS SOLES,Cajamarca,12/05/2023,10429.77
191-10295-13,C0295,CTA CORRIENTE,San Isidro,20/04/2024,13433.84
191-10296-20,C0296,CTA AHORROS SOLES,Surco,05/05/2021,5397.55
191-10297-21,C0297,CTA AHORROS DOLARES,Callao,30/09/2024,12320.37
191-10298-91,C0298,CTA AHORROS SOLES,Surco,05/04/2013,1692.56
191-10299-84,C0299,CTA AHORROS DOLARES,Callao,02/06/2016,10584.29
191-10300-29,C0300,CTA AHORROS DOLARES,San Isidro,23/10/2014,6638.54
191-10301-30,C0301,CTA AHORROS DOLARES,Callao,17/08/2012,12968.26
191-10302-45,C0302,CTA CORRIENTE,San Isidro,01/11/2013,1895.32
191-10303-15,C0303,CTA AHORROS DOLARES,Cajamarca,27/03/2024,8477.58
191-10304-79,C0304,CTA AHORROS DOLARES,Callao,11/12/2010,7861.6
191-10305-28,C0305,CTA AHORROS SOLES,Lince,04/02/2012,14989.67
191-10306-83,C0306,CTA AHORROS SOLES,Miraflores,01/01/2016,5845.03
191-10307-89,C0307,CTA AHORROS SOLES,San Isidro,11/12/2018,9910.43
191-10308-69,C0308,CTA AHORROS SOLES,Miraflores,14/12/2017,7389.76
191-10309-90,C0309,CTA AHORROS SOLES,La Molina,25/05/2024,1771.81
191-10310-29,C0310,CTA AHORROS SOLES,Callao,29/11/2019,8707.34
191-10311-64,C0311,CTA AHORROS SOLES,Callao,10/12/2012,6761.66
191-10312-27,C0312,CTA AHORROS SOLES,Cajamarca,06/08/2015,14117.21
191-10313-64,C0313,CTA AHORROS SOLES,Surco,17/04/2016,10293.02
191-10314-24,C0314,CTA AHORROS DOLARES,San Isidro,09/11/2016,5829.05
191-10315-20,C0315,CTA AHORROS SOLES,La Molina,22/02/2022,8665.47
191-10316-31,C0316,CTA AHORROS DOLARES,Surco,24/12/2016,9176.07
191-10317-30,C0317,CTA AHORROS DOLARES,San Isidro,29/12/2011,8187.99
191-10318-70,C0318,CTA AHORROS SOLES,La Molina,30/11/2017,2923.41
191-10319-88,C0319,CTA AHORROS SOLES,Callao,13/08/2015,6527.23
191-10320-16,C0320,CTA AHORROS SOLES,Miraflores,28/06/2013,13381.38
191-10321-78,C0321,CTA AHORROS SOLES,La Molina,29/06/2010,1288.21
191-10322-12,C0322,CTA AHORROS SOLES,Miraflores,24/08/2012,3949.23
191-10323-77,C0323,CTA CORRIENTE,Surco,01/09/2010,10700.87
191-10324-42,C0324,CTA AHORROS DOLARES,Miraflores,17/08/2011,5382.28
191-10325-44,C0325,CTA AHORROS DOLARES,Surco,05/01/2012,8221.69
191-10326-67,C0326,CTA AHORROS DOLARES,Miraflores,01/11/2016,14259.2
191-10327-67,C0327,CTA AHORROS DOLARES,Miraflores,23/01/2014,9174.91
191-10328-95,C0328,CTA AHORROS SOLES,La Molina,02/05/2017,9744.81
191-10329-73,C0329,CTA AHORROS SOLES,Callao,28/03/2020,4982.81
191-10330-95,C0330,CTA AHORROS SOLES,Callao,08/08/2012,9687.51
191-10331-34,C0331,CTA AHORROS SOLES,Miraflores,27/08/2010,7368.17
191-10332-87,C0332,CTA CORRIENTE,Surco,23/05/2016,7892.65
191-10333-74,C0333,CTA AHORROS DOLARES,La Molina,05/05/2010,12656.15
191-10334-55,C0334,CTA AHORROS SOLES,Miraflores,16/08/2019,13892.39
191-10335-98,C0335,CTA AHORROS SOLES,Surco,26/09/2013,12387.36
191-10336-27,C0336,CTA AHORROS DOLARES,Miraflores,27/05/2023,3281.82
191-10337-59,C0337,CTA AHORROS DOLARES,Surco,03/03/2011,13757.93
191-10338-12,C0338,CTA CORRIENTE,Miraflores,06/01/2017,4396.02
191-10339-71,C0339,CTA AHORROS SOLES,Cajamarca,04/11/2021,721.85
